stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,write,19,0.0022825564632388273,0.00010591744014270982
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,coordination,79,0.013098988559111258,0.00044039356690916184
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,edit,248,0.0411208754767037,0.0013825013239680017
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,fetch,3,0.000497429945282706,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,multimodal,25,0.00414524954402255,0.00013936505281935503
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,other,1,0.000165809981760902,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,plan/goal,48,0.007958879124523296,0.0002675809014131616
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,read,459,0.07610678162825402,0.002558742369763358
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,search,4,0.000663239927043608,2.2298408451096803e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:build/check,83,0.013762228486154866,0.00046269197536025864
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:container/orchestration,36,0.005969159343392472,0.00020068567605987123
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:data/analysis/runtime,261,0.043276405239595424,0.0014549711514340665
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:filesystem/navigation,1568,0.2599900514010943,0.008740976112829946
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:git/repository,612,0.10147570883767203,0.003411656493017811
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:lint/format,24,0.003979439562261648,0.0001337904507065808
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:network/remote,24,0.003979439562261648,0.0001337904507065808
