stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
project,agentsight,ALL,all_adjacent,fetch,162,1473.5,16669.900000000012,37162.04999999991,224479.69999999803,374280,0.35802469135802467,0.7469135802469136,5,0.030864197530864196,0,0.0,0.001326259946949602
project,agentsight,ALL,all_adjacent,multimodal,46,13171.0,230669.5,2142952.25,8357017.749999973,12628213,0.1956521739130435,0.41304347826086957,10,0.21739130434782608,3,0.06521739130434782,0.002652519893899204
project,agentsight,ALL,all_adjacent,other,23,15007.0,57990.200000000026,590576.9999999992,20746553.98000003,26415072,0.17391304347826086,0.34782608695652173,3,0.13043478260869565,2,0.08695652173913043,0.0007957559681697613
project,agentsight,ALL,all_adjacent,plan/goal,751,8734.0,50724.0,149290.5,4974636.5,35611845,0.0039946737683089215,0.5952063914780293,69,0.09187749667110519,21,0.02796271637816245,0.01830238726790451
project,agentsight,ALL,all_adjacent,read,3201,3712.0,17617.0,36795.0,209463.0,6424346,0.2330521711965011,0.8256794751640113,100,0.031240237425804437,13,0.004061230865354577,0.026525198938992044
project,agentsight,ALL,all_adjacent,search,313,1153.0,20300.800000000003,27874.59999999997,57801.839999999975,216986,0.476038338658147,0.6325878594249201,3,0.009584664536741214,0,0.0,0.0007957559681697613
project,agentsight,ALL,all_adjacent,shell,72930,6128.0,24095.300000000017,39817.55,156104.97000000387,239182545,0.2942410530645825,0.6830522418757713,2274,0.031180584121760592,315,0.0043192102015631425,0.6031830238726791
project,agentsight,ALL,all_adjacent,skill,31,6256.0,11222.0,11964.0,56658.099999999955,75514,0.0,0.7419354838709677,1,0.03225806451612903,0,0.0,0.0002652519893899204
project,agentsight,ALL,all_adjacent,task,1041,9204.0,45336.0,111303.0,628095.3999999936,66491206,0.04707012487992315,0.5513928914505284,81,0.07780979827089338,11,0.010566762728146013,0.021485411140583555
project,agentsight,ALL,all_adjacent,tool discovery,43,4577.0,8274.000000000002,13853.199999999993,20823.579999999994,21643,0.0,0.9302325581395349,0,0.0,0,0.0,0.0
project,agentsight,ALL,all_adjacent,wait/control,4759,20856.0,40619.79999999999,58442.59999999993,130103.64000000013,48891131,0.044967430132380755,0.21727253624711074,234,0.04916999369615466,7,0.0014708972473208657,0.06206896551724138
project,agentsight,ALL,all_adjacent,write,135,6750.0,73718.60000000005,94560.49999999997,486825.679999999,1667728,0.0,0.5851851851851851,17,0.1259259259259259,1,0.007407407407407408,0.004509283819628647
project,agentsight,ALL,same_prompt,ALL,94385,6752.0,30484.0,40689.600000000006,106475.20000000007,86242162,0.24107644223128674,0.6465328177146792,2769,0.029337288764104467,138,0.0014620967314721619,1.0
project,agentsight,ALL,same_prompt,coordination,5878,31918.5,64578.200000000004,89653.2999999997,311344.57999999926,21678359,0.007145287512759442,0.2733923103096291,782,0.13303844845185436,31,0.005273902687989112,0.28241242325749366
project,agentsight,ALL,same_prompt,edit,6760,7109.0,21004.700000000004,30837.749999999945,64812.12999999993,21869309,0.003106508875739645,0.6921597633136095,84,0.01242603550295858,2,0.0002958579881656805,0.030335861321776816
project,agentsight,ALL,same_prompt,fetch,152,1442.0,14248.7,17934.249999999978,43496.27000000008,49182,0.3815789473684211,0.7697368421052632,0,0.0,0,0.0,0.0
project,agentsight,ALL,same_prompt,multimodal,34,9129.0,17005.9,24065.249999999985,50969.86000000006,62110,0.2647058823529412,0.5588235294117647,1,0.029411764705882353,0,0.0,0.00036114120621162876
project,agentsight,ALL,same_prompt,other,22,14885.5,32592.100000000024,62528.299999999974,526222.5999999995,649081,0.18181818181818182,0.36363636363636365,2,0.09090909090909091,1,0.045454545454545456,0.0007222824124232575
